tid,toi,tfopwg_disp,pl_orbper,pl_tranmid,pl_trandurh
295541511,1117.01,PC,2.2281625,2459386.963814,2.015
90919952,1118.01,FP,4.13812,2458660.16316,3.911
388104525,112.01,KP,2.4997996,2460069.773646,2.865171
143257766,1120.01,FP,1.66226,2458656.45082,3.321
24094603,1121.01,FP,4.07611,2458658.61052,2.062
304774444,1122.01,FP,3.6245513,2460115.852574,3.042
80166433,1125.01,PC,0.7724825,2459036.495091,1.3744974
405862830,1126.01,FP,1.6268695,2460122.432108,3.231
269450900,1127.01,FP,2.32439,2458657.63073,4.453
425721385,1128.01,FP,13.5499,2458663.15245,1.795
91576611,1129.01,FP,4.43651,2458659.06927,3.365
97409519,113.01,KP,3.372877,2458327.053085,2.63426
254113311,1130.01,CP,8.34998,2460144.137122,1.836
254113311,1130.02,CP,4.0686405,2460126.924264,1.8373729
198213332,1131.01,PC,0.5860366,2458711.595435,0.8098934
267489265,1132.01,FP,1.5502952,2460351.800169,2.938
69997672,1133.01,FP,1.80709,2458684.2349,3.297
122220263,1134.01,FP,18.6922101,2460333.437983,7.765
154872375,1135.01,CP,8.0277326,2460658.97426,4.284
142276270,1136.01,CP,12.5187279,2459612.447691,5.38
142276270,1136.02,CP,6.2586065,2460366.026514,3.201
142276270,1136.03,CP,26.3208756,2459594.183463,4.414
142276270,1136.04,CP,18.795547,2458697.755807,4.3425576
89389197,1137.01,PC,1.3206356,2459770.240602,1.6000996
370133522,1078.01,CP,0.5182425,2458654.10332,0.8565249
379240073,1079.01,PC,3.1644075,2458656.380357,2.0576293
289793076,108.01,KP,3.0440495,2458328.085025,2.6523472
161032923,1080.01,CP,3.9652485,2458654.060577,1.0112593
253728991,1081.01,PC,2.98278,2458654.026119,3.109528
261108236,1082.01,PC,16.3469053,2458626.085696,3.5865698
322270620,1083.01,PC,12.9802953,2458627.915974,2.5034417
380589029,1084.01,KP,1.3484961,2458653.973305,2.4074261
468148930,1086.01,PC,3.7178828,2458655.291499,5.5277827
426077080,1087.01,FP,9.30992,2458630.77194,3.464
343648136,1088.01,FA,1.15395,2458626.38955,2.236
129319156,1089.01,FP,4.73703,2458643.10264,3.902
29344935,109.01,KP,2.76676,2458326.127479,2.6872178
361034196,1090.01,FP,2.19296,2458628.96316,4.586
193413306,1091.01,PC,1.725841,2459359.55521,3.674
387079085,1092.01,FP,1.1923,2458601.38096,3.119
382331352,1093.01,FP,11.47606,2458601.33791,6.083
375223080,1095.01,PC,1.4821386,2459307.385949,2.1867078
375225453,1096.01,FP,0.9209526,2459307.93577,1.8602735
360630575,1097.01,CP,9.188506,2459376.410518,2.492
360630575,1097.02,CP,13.9028391,2459344.461827,2.1264429
383390264,1098.01,CP,10.1826983,2458629.909082,2.8275109
